,test_000,test_001,test_002,test_003,test_004,test_005,test_006,test_007,test_008,test_009,test_010,test_011,test_012,test_013,test_014,test_015,test_016,test_017,test_018,test_019,test_020,test_021,test_022,test_023,test_024,test_025,test_026,test_027,test_028,test_029,test_030,test_031,test_032,test_033,test_034
train_000,0.7266614437103271,0.6678466200828552,0.6683957576751709,0.6700071096420288,0.6533869504928589,0.63396817445755,0.634287416934967,0.646254301071167,0.6418112516403198,0.6359348893165588,0.6390899419784546,0.6341294050216675,0.6163203120231628,0.6410215497016907,0.5176097750663757,0.5212159752845764,0.5012845993041992,0.49502578377723694,0.5104627013206482,0.5017175078392029,0.44717705249786377,0.4489164352416992,0.38602596521377563,0.36774489283561707,0.3847281038761139,0.3877853453159332,0.37692388892173767,0.3919467031955719,0.37584373354911804,0.36562004685401917,0.37753742933273315,0.3328123092651367,0.32256019115448,0.33147045969963074,0.2793036997318268
train_001,0.6736388802528381,0.7364041805267334,0.6923161149024963,0.6830912232398987,0.6677277684211731,0.6458593606948853,0.6460351943969727,0.660213053226471,0.6598161458969116,0.6426582336425781,0.6484149098396301,0.648169994354248,0.6243500709533691,0.6482270956039429,0.5276214480400085,0.5292356610298157,0.5101701021194458,0.5073921084403992,0.5214904546737671,0.511610746383667,0.4567757546901703,0.46091368794441223,0.4019234776496887,0.3793354332447052,0.39526280760765076,0.3944195508956909,0.3873485028743744,0.4022078216075897,0.3851221203804016,0.37776076793670654,0.38649338483810425,0.3423331081867218,0.3325909674167633,0.3391420841217041,0.2903151214122772
train_002,0.6706381440162659,0.6899430155754089,0.7393880486488342,0.6833320260047913,0.6658607721328735,0.641700267791748,0.6526296734809875,0.6576537489891052,0.6578071713447571,0.6529492139816284,0.6493939161300659,0.6504586935043335,0.6301806569099426,0.6529098153114319,0.5271868109703064,0.5251143574714661,0.5127031803131104,0.5087940096855164,0.5180519223213196,0.5143669843673706,0.45875316858291626,0.4617288112640381,0.40081557631492615,0.3848091959953308,0.40039023756980896,0.39985111355781555,0.3916827142238617,0.4073546826839447,0.39015328884124756,0.3865751624107361,0.39490988850593567,0.34743988513946533,0.3422899544239044,0.35379689931869507,0.29481208324432373
train_003,0.6603878736495972,0.6795507073402405,0.6808966398239136,0.7330684661865234,0.6610418558120728,0.6393915414810181,0.6403598785400391,0.653693437576294,0.6484297513961792,0.6370753049850464,0.6410737633705139,0.6399353742599487,0.6238638162612915,0.6427010297775269,0.523006021976471,0.5239883661270142,0.501460611820221,0.49674153327941895,0.5065774917602539,0.5064585208892822,0.4491081237792969,0.45058390498161316,0.39367738366127014,0.3749157786369324,0.39317092299461365,0.3938072919845581,0.3839270770549774,0.40591710805892944,0.3903351128101349,0.3816092908382416,0.3875043988227844,0.3462688624858856,0.33932751417160034,0.3500121533870697,0.2836819291114807
train_004,0.637840211391449,0.6559839844703674,0.6574645638465881,0.6607714295387268,0.7120508551597595,0.6301305294036865,0.6357187628746033,0.6432765126228333,0.6287569999694824,0.6328805685043335,0.6338310837745667,0.6244708895683289,0.6151770949363708,0.631430447101593,0.5086034536361694,0.5146320462226868,0.4868582785129547,0.49113717675209045,0.5020473003387451,0.49815258383750916,0.44145339727401733,0.4461000859737396,0.392982542514801,0.37632206082344055,0.38796305656433105,0.3918842077255249,0.3847224712371826,0.40183499455451965,0.3822450637817383,0.37449589371681213,0.38500919938087463,0.3443974554538727,0.3383256196975708,0.34686097502708435,0.2842079699039459
train_005,0.6352964043617249,0.6462008357048035,0.6454300880432129,0.6522564888000488,0.638435959815979,0.7021155953407288,0.6374111771583557,0.6446722745895386,0.6304036974906921,0.6227139830589294,0.6399521827697754,0.6197242140769958,0.6140465140342712,0.6285144686698914,0.5026702880859375,0.5143533945083618,0.4863981604576111,0.4965747594833374,0.5001934766769409,0.4980926215648651,0.43976259231567383,0.44376498460769653,0.39371588826179504,0.37791815400123596,0.38933104276657104,0.3930381238460541,0.3813280165195465,0.39759597182273865,0.38306495547294617,0.3757305443286896,0.3859958052635193,0.34465476870536804,0.3360164761543274,0.3488529920578003,0.28673258423805237
train_006,0.6336366534233093,0.6535263061523438,0.6483767032623291,0.6530933380126953,0.6397457718849182,0.6316407322883606,0.72344970703125,0.6454079747200012,0.6199362277984619,0.628572940826416,0.6310577988624573,0.6225675940513611,0.6152578592300415,0.6375516653060913,0.508692741394043,0.5113587975502014,0.4871191680431366,0.49489086866378784,0.5009453296661377,0.4967288374900818,0.44135281443595886,0.44549867510795593,0.39433932304382324,0.3782452642917633,0.3909248411655426,0.392079621553421,0.38397127389907837,0.39669615030288696,0.37810826301574707,0.37088295817375183,0.386935830116272,0.33883151412010193,0.3305518329143524,0.3380291163921356,0.2862718403339386
train_007,0.6509118676185608,0.6724731922149658,0.6735613942146301,0.6715954542160034,0.653693437576294,0.6415229439735413,0.6405312418937683,0.7376160621643066,0.666626513004303,0.6477090716362,0.6573167443275452,0.6463417410850525,0.6218836307525635,0.6411410570144653,0.5214239358901978,0.522451639175415,0.5020225048065186,0.5120031833648682,0.5164048075675964,0.5185078978538513,0.45513883233070374,0.4609600603580475,0.4026813805103302,0.3895453214645386,0.4037235677242279,0.40821415185928345,0.3982624113559723,0.4136267304420471,0.39677029848098755,0.39359617233276367,0.40343454480171204,0.35907939076423645,0.35023728013038635,0.3617786765098572,0.2904769778251648
train_008,0.6518712639808655,0.6696287989616394,0.6700707674026489,0.6641815304756165,0.6511895060539246,0.633829653263092,0.633938729763031,0.6654422879219055,0.7304438948631287,0.6487308740615845,0.6580023169517517,0.647709846496582,0.6271993517875671,0.6448520421981812,0.5220385789871216,0.5212209224700928,0.5055442452430725,0.5060167908668518,0.5164626836776733,0.5158839821815491,0.4563676118850708,0.4597505033016205,0.40111657977104187,0.384831964969635,0.40366923809051514,0.4042990207672119,0.3940819501876831,0.41084444522857666,0.3969581127166748,0.38821953535079956,0.3989644944667816,0.35518497228622437,0.34706753492355347,0.35769495368003845,0.28971657156944275
train_009,0.6401720643043518,0.6599050164222717,0.6609087586402893,0.6560899019241333,0.6413109302520752,0.6267778873443604,0.6386815309524536,0.6501768827438354,0.6456729173660278,0.7064498662948608,0.6459198594093323,0.6380506753921509,0.6151069402694702,0.6309481859207153,0.5100090503692627,0.5135068893432617,0.4913254976272583,0.4930092692375183,0.5053500533103943,0.5035844445228577,0.4462718963623047,0.4550341069698334,0.3987105190753937,0.3842933475971222,0.3986310660839081,0.3981983959674835,0.3875027596950531,0.4050198793411255,0.38853082060813904,0.38125985860824585,0.38927385210990906,0.34785959124565125,0.34502309560775757,0.3517124354839325,0.2763678729534149
train_010,0.6469587087631226,0.6652340292930603,0.658904492855072,0.6597071886062622,0.6516361832618713,0.6298124194145203,0.6413128972053528,0.6527448296546936,0.6501069664955139,0.6413009762763977,0.7145705819129944,0.6491119861602783,0.6184203028678894,0.6397331953048706,0.5157659649848938,0.5219045877456665,0.49635177850723267,0.49634748697280884,0.5120143890380859,0.5124025344848633,0.4496649503707886,0.45740121603012085,0.40027889609336853,0.38302332162857056,0.4013303518295288,0.40240293741226196,0.3897901773452759,0.40435755252838135,0.38879695534706116,0.3833758533000946,0.389905720949173,0.3496904671192169,0.3399242162704468,0.3511415421962738,0.28239890933036804
train_011,0.6461817026138306,0.662954568862915,0.6614965200424194,0.658641517162323,0.6428614854812622,0.6303020119667053,0.6311070322990417,0.653061032295227,0.6505175232887268,0.6397324204444885,0.6462694406509399,0.7159039378166199,0.6151638627052307,0.6396797895431519,0.5184233784675598,0.5177459716796875,0.49481746554374695,0.49516957998275757,0.5132973194122314,0.5123016834259033,0.44529595971107483,0.45553895831108093,0.398725301027298,0.38391590118408203,0.40226539969444275,0.40064162015914917,0.3904784917831421,0.4043193757534027,0.3934983015060425,0.38267505168914795,0.39041924476623535,0.3508794903755188,0.3431876301765442,0.35487526655197144,0.28177526593208313
