distance,within_mean,within_lo,within_hi,across_mean,across_lo,across_hi,gap,n_within,n_across
1,0.6135026949324778,0.609162510074675,0.6179038434196263,0.5919350941975912,0.587145408441623,0.5969792437925935,0.021567600734886616,560,120
2,0.607153445482254,0.6022241093307024,0.6118733903339931,0.5839475974440574,0.5796775219403206,0.5882652607560157,0.023205848038196586,420,240
3,0.6113379190010684,0.6044855764880777,0.6178951695667846,0.5721478512717618,0.5686370909441677,0.5759538524328834,0.039190067729306555,280,360
4,0.6444246497005224,0.6423326313216239,0.6465014076139778,0.5575116292290065,0.553767714617045,0.5611667607659878,0.08691302047151583,160,460
5,0.6435916632413864,0.64117672466806,0.6460858338964837,0.547224184287631,0.5431054812281028,0.5511856517503443,0.09636747895375541,140,460
6,0.646428918838501,0.6433314924562971,0.6493506164972981,0.542051021495591,0.5377779791455554,0.5464623185214789,0.10437789734290992,120,460
7,0.6508582377433777,0.6482245211452246,0.653507268384099,0.5318706281807112,0.5277962916117647,0.5360020674586944,0.11898760956266652,100,460
8,0.650390138477087,0.6483680504374206,0.6524109269864857,0.5226036379518716,0.5182505554398117,0.526771715340083,0.12778650052521545,80,460
9,0.6502851784229279,0.6475273256997267,0.653073142071565,0.5164142856779306,0.5115209498612777,0.5212274582392497,0.1338708927449973,60,460
10,0.64929329007864,0.6463377866894007,0.6523544451221824,0.5106774166226387,0.5055737274917572,0.5161352782356351,0.13861587345600135,40,460
11,0.6401555478572846,0.636393241211772,0.6435746037960053,0.5050307498030041,0.49905587147435415,0.5110105205375863,0.13512479805428046,20,460
pooled,0.6239554589745975,0.6218830072191177,0.6259903139605968,0.48854982159551114,0.48707242051590116,0.4900880478266927,0.13540563737908634,1980,9920
