train_win,test_win,lag,same_state,state_i,state_j,jsd,pair_id,seed,f1
0,1,1,1,0,0,0.003756,1,-1,0.6678466200828552
0,2,2,1,0,0,0.005888,2,-1,0.6683957576751709
0,3,3,1,0,0,0.001947,3,-1,0.6700071096420288
0,4,4,1,0,0,0.000945,4,-1,0.6533869504928589
0,5,5,1,0,0,0.003147,5,-1,0.63396817445755
0,6,6,1,0,0,0.003617,6,-1,0.634287416934967
0,7,7,1,0,0,0.005351,7,-1,0.646254301071167
0,8,8,0,0,3,0.003732,8,-1,0.6418112516403198
0,9,9,0,0,3,0.00359,9,-1,0.6359348893165588
0,10,10,0,0,3,0.002866,10,-1,0.6390899419784546
0,11,11,0,0,3,0.006325,11,-1,0.6341294050216675
0,12,12,0,0,5,0.042011,12,-1,0.6163203120231628
0,13,13,0,0,5,0.033541,13,-1,0.6410215497016907
0,14,14,0,0,5,0.054237,14,-1,0.5176097750663757
0,15,15,0,0,5,0.053092,15,-1,0.5212159752845764
0,16,16,0,0,5,0.066057,16,-1,0.5012845993041992
0,17,17,0,0,5,0.069022,17,-1,0.49502578377723694
0,18,18,0,0,5,0.062854,18,-1,0.5104627013206482
0,19,19,0,0,5,0.061631,19,-1,0.5017175078392029
0,20,20,0,0,2,0.080982,20,-1,0.44717705249786377
0,21,21,0,0,2,0.109493,21,-1,0.4489164352416992
0,22,22,0,0,2,0.160482,22,-1,0.38602596521377563
0,23,23,0,0,6,0.170421,23,-1,0.36774489283561707
0,24,24,0,0,6,0.1457,24,-1,0.3847281038761139
0,25,25,0,0,6,0.175075,25,-1,0.3877853453159332
0,26,26,0,0,6,0.192611,26,-1,0.37692388892173767
0,27,27,0,0,6,0.192655,27,-1,0.3919467031955719
0,28,28,0,0,1,0.224972,28,-1,0.37584373354911804
0,29,29,0,0,1,0.244563,29,-1,0.36562004685401917
0,30,30,0,0,1,0.239619,30,-1,0.37753742933273315
0,31,31,0,0,1,0.323269,31,-1,0.3328123092651367
0,32,32,0,0,1,0.331761,32,-1,0.32256019115448
0,33,33,0,0,1,0.337118,33,-1,0.33147045969963074
0,34,34,0,0,4,0.326734,34,-1,0.2793036997318268
1,0,1,1,0,0,0.003756,1,-1,0.6736388802528381
1,2,1,1,0,0,0.000958,37,-1,0.6923161149024963
1,3,2,1,0,0,0.001594,38,-1,0.6830912232398987
1,4,3,1,0,0,0.003751,39,-1,0.6677277684211731
1,5,4,1,0,0,0.003333,40,-1,0.6458593606948853
1,6,5,1,0,0,0.003156,41,-1,0.6460351943969727
1,7,6,1,0,0,0.000436,42,-1,0.660213053226471
1,8,7,0,0,3,0.002236,43,-1,0.6598161458969116
1,9,8,0,0,3,0.003088,44,-1,0.6426582336425781
1,10,9,0,0,3,0.002732,45,-1,0.6484149098396301
1,11,10,0,0,3,0.002366,46,-1,0.648169994354248
