state_i,state_j,mean_f1,n_pairs,jsd,pca_dist
0,1,0.3632,480,0.248674,2.662276
0,2,0.4323,240,0.099889,2.960629
0,3,0.64,320,0.001537,0.783817
0,4,0.287,80,0.286841,4.624037
0,5,0.539,640,0.043158,2.579253
0,6,0.391,400,0.149128,2.520871
1,0,0.4529,480,0.248674,2.662276
1,2,0.5004,180,0.108675,3.014375
1,3,0.4647,240,0.248203,2.405856
1,4,0.4485,60,0.056216,3.4032
1,5,0.5029,480,0.149672,2.742675
1,6,0.5518,300,0.033587,1.663728
2,0,0.5076,240,0.099889,2.960629
2,1,0.4652,180,0.108675,3.014375
2,3,0.507,120,0.093586,2.675007
2,4,0.3494,30,0.155823,5.529394
2,5,0.5626,240,0.024363,2.12951
2,6,0.5206,150,0.025963,1.776708
3,0,0.6502,320,0.001537,0.783817
3,1,0.3694,240,0.248203,2.405856
3,2,0.4353,120,0.093586,2.675007
3,4,0.2826,40,0.286338,4.077344
3,5,0.5388,320,0.036639,1.845722
3,6,0.3967,200,0.145369,2.445201
4,0,0.4083,80,0.286841,4.624037
4,1,0.4958,60,0.056216,3.4032
4,2,0.4035,30,0.155823,5.529394
4,3,0.4261,40,0.286338,4.077344
4,5,0.4425,80,0.183647,3.857369
4,6,0.4566,50,0.067449,4.900284
5,0,0.5778,640,0.043158,2.579253
5,1,0.4361,480,0.149672,2.742675
5,2,0.5094,240,0.024363,2.12951
5,3,0.5753,320,0.036639,1.845722
5,4,0.3416,80,0.183647,3.857369
5,6,0.4639,400,0.057017,2.727761
6,0,0.4893,400,0.149128,2.520871
6,1,0.5421,300,0.033587,1.663728
6,2,0.5504,150,0.025963,1.776708
6,3,0.4974,200,0.145369,2.445201
6,4,0.4135,50,0.067449,4.900284
6,5,0.5417,400,0.057017,2.727761
